DateTime,Summary,Temp,Rain,Wind_Speed
2012-11-25 19:00:00,Light Rain,5,1,24
2012-11-25 20:00:00,Light Rain,6,1,25
2012-11-25 21:00:00,Light Rain,5,1,33
2012-11-25 22:00:00,Rain,5,1,35
2012-11-25 23:00:00,Rain,5,1,33
2012-11-26 00:00:00,Rain,5,1,29
2012-11-26 01:00:00,Rain,5,1,31
2012-11-26 02:00:00,Rain,5,1,24
2012-11-26 03:00:00,Rain,5,1,20
2012-11-26 04:00:00,Light Rain,5,1,27
2012-11-26 05:00:00,Light Rain,5,1,31
2012-11-26 06:00:00,Mostly Cloudy,5,0,35
2012-11-26 07:00:00,Mostly Cloudy,5,0,35
2012-11-26 08:00:00,Light Rain,5,1,35
2012-11-26 09:00:00,Light Rain,5,1,29
2012-11-26 10:00:00,Mostly Cloudy,5,0,31
2012-11-26 11:00:00,Mostly Cloudy,5,0,29
2012-11-26 12:00:00,Scattered Clouds,6,0,33
2012-11-26 13:00:00,Scattered Clouds,7,0,29
2012-11-26 14:00:00,Scattered Clouds,7,0,38
2012-11-26 15:00:00,Scattered Clouds,7,0,38
2012-11-26 16:00:00,Partly Cloudy,6,0,35
2012-11-26 17:00:00,Scattered Clouds,6,0,25
2012-11-26 18:00:00,Scattered Clouds,6,0,33
2012-11-26 19:00:00,Scattered Clouds,6,0,31
